Species,Status,Seed Mass (mg),Maximum Height (m),SLA (cm^2/g),Leaf Size (cm^2),Leaf Nitrogen (%)
Abies_grandis,n,17.21540461,68.57142857,NA,0.365239647,NA
Acer_glabrum,n,36.58031443,10,268.0889659,22.57300284,NA
Acer_macrophyllum,n,133.3852804,19.69728499,252.1900766,128.0844641,2.64
Achillea_millefolium,n,0.146208383,0.461538462,187.2335203,5.671022463,2.498042225
Achnatherum_lemmonii,n,5.627292304,0.9,NA,NA,NA
Acmispon_denticulatus,n,6.05,NA,NA,NA,NA
Acmispon_parviflorus,n,2.132685689,NA,NA,NA,NA
Adenocaulon_bicolor,n,5.487700722,1,NA,NA,NA
Agoseris_grandiflora,n,1.229879238,0.7,NA,NA,NA
Agrostis_exarata,n,0.1052,1,NA,NA,NA
Agrostis_scabra,n,0.065339416,0.666666667,123.2362833,NA,1.55
Agrostis_stolonifera,i,0.069304054,0.352941176,295.1380958,3.170752474,NA
Aira_caryophyllea,i,0.139235747,0.3,194.6000334,0.128701069,NA
Aira_praecox,i,0.165651466,0.08,174.4372204,0.149909896,NA
Allium_acuminatum,n,2.316108408,0.3,NA,NA,NA
Allium_cernuum,n,3.813817271,0.5,NA,6.75,NA
Alnus_alnobetula,n,1.723952003,NA,233.384424,21.40343976,NA
Alnus_rubra,n,0.979475389,25,153.8290993,NA,2.246821903
Ambrosia_chamissonis,n,NA,NA,NA,NA,NA
Amelanchier_alnifolia,n,5.483855104,10,106.2328946,NA,1.82
Amsinckia_menziesii,n,2.020187047,0.8,234.6785035,19.20831851,NA
Amsinckia_spectabilis,n,1.204342144,0.4,NA,NA,NA
Anagallis_arvensis,i,0.467533454,0.285714286,307.1891506,0.407921561,2.74779374
Anaphalis_margaritacea,n,0.072740435,0.9,128,14.71,NA
Anisocarpus_madioides,n,NA,NA,NA,NA,NA
Anthemis_arvensis,i,0.66315609,0.6,417.3017275,4.696991789,NA
Anthoxanthum_odoratum,i,0.523673115,0.420384018,293.3327397,1.367113748,2.150306808
Anthriscus_caucalis,i,1.128482887,0.9,377.0496785,29.27590064,NA
Aphanes_australis,i,NA,NA,NA,NA,NA
Aquilegia_formosa,n,1.217628036,1,NA,NA,NA
Arabidopsis_thaliana,i,0.021012472,0.4,326.5610829,2.430637776,3.57
Arabis_hirsuta,n,0.100069333,0.685714286,238.5449927,3.74,2
Arbutus_menziesii,n,17.7830114,13.86051769,71.34637786,49.27,1.211213597
Arctostaphylos_uva_ursi,n,11.66303511,NA,54.8478367,1.721300621,1.08706697
Arenaria_serpyllifolia,n,0.070219227,0.272727273,205.8547732,0.068837622,NA
Armeria_maritima,n,0.921124622,0.5,186.5288402,1.004255905,1.7
Artemisia_campestris,n,0.135921844,1,161.5796747,1.724612714,NA
Artemisia_suksdorfii,n,0.6268,1.5,NA,NA,NA
Asparagus_officinalis,i,23.09494057,1.5,98.58913103,0.131951129,NA
Aspidotis_densa,n,NA,NA,NA,NA,NA
Asplenium_trichomanes,n,NA,0.222222222,109,10.42,NA
Athyrium_filix_femina,n,NA,NA,182.6488075,677.3,2.08808535
Atriplex_dioica,n,NA,NA,NA,NA,NA
Atriplex_gmelinii,n,NA,NA,NA,NA,NA
Atriplex_prostrata,i,1.522895768,1,205.4210886,25.40024175,NA
Avena_fatua,i,10.52390143,0.8,253.3337792,51.79674314,2.83
Barbarea_orthoceras,n,NA,0.6,NA,NA,NA
Barbarea_vulgaris,i,0.565583421,0.8,256.4488253,28.21947554,NA
Bellis_perennis,i,0.112879042,0.052173913,264.4339359,3.585484626,NA
Berberis_aquifolium,n,9.895296194,4.5,NA,NA,NA
Berberis_nervosa,n,16.37399883,0.6,NA,NA,NA
Betula_papyrifera,n,0.310319682,18,147.1620517,23.15669246,1.942392615
Bolboschoenus_maritimus,n,2.239291645,NA,123.9991869,17.77773472,NA
Brassica_nigra,i,0.825305101,1.5,265.5469153,70.55798747,NA
Brassica_rapa,i,1.932685624,0.4,274.3439161,32.48168836,NA
Brodiaea_coronaria,n,1.579341635,0.4,NA,NA,NA
Bromus_carinatus,n,5.698778198,1.3,206,17.16,NA
Bromus_commutatus,i,4.31581821,1.2,269.8068058,8.523037386,NA
Bromus_diandrus,i,9.703417057,NA,NA,NA,NA
Bromus_hordeaceus,i,1.885675969,0.509090909,287.4019297,1.610281978,2.540940378
Bromus_pacificus,n,NA,NA,NA,NA,NA
Bromus_sitchensis,n,NA,NA,NA,NA,NA
Bromus_sterilis,i,7.486311347,0.571428571,337.0945064,4.538479246,NA
Bromus_tectorum,i,3.026209351,0.884210526,332.0807176,7.208313055,NA
Bromus_vulgaris,i,NA,NA,NA,NA,NA
Buglossoides_arvensis,i,5.86027406,NA,270.5227776,2.026082855,NA
Cakile_edentula,i,9.851642192,0.5,NA,NA,NA
